Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,99.85,103.5,99.03,101.84,100.91,37955858
2019-01-02,100.77,102.78,98.21,101.45,100.88,92490726
2019-01-03,103.77,105.74,103.47,103.85,103.05,86993650
2019-01-04,108.53,112.83,108.44,109.49,108.71,35233162
2019-01-07,108.56,109.25,107.29,108.7,108.45,31030140
2019-01-08,105.87,108.77,104.9,107.92,106.92,36210635
2019-01-09,112.66,118.33,110.27,113.99,113.79,97128441
2019-01-10,115.44,117.99,116.03,117.17,116.5,88843305
2019-01-11,114.74,117.98,112.93,115.36,114.89,71584524
2019-01-14,117.62,120.39,114.02,117.66,116.59,116759691
2019-01-15,114.15,118.14,114.09,115.87,115.1,64636414
2019-01-16,113.31,117.04,109.72,114.1,113.06,61491540
2019-01-17,113.33,116.24,112.08,115.18,115.14,22960841
2019-01-18,106.64,109.96,105.29,107.58,107.37,44522289
2019-01-21,100.11,102.71,97.75,101.2,100.65,34115491
2019-01-22,99.25,101.94,99.25,99.31,98.54,56147291
2019-01-23,95.13,96.42,92.85,95.88,95.82,27992388
2019-01-24,95.78,99.26,93.66,97.04,96.4,109653284
2019-01-25,92.38,94.75,91.05,94.05,93.26,111582204
2019-01-28,87.97,90.49,88.66,89.49,89.1,95988985
2019-01-29,92.71,94.99,92.01,94.17,94.12,100027516
2019-01-30,92.12,94.2,91.89,93.52,92.59,103421863
2019-01-31,93.56,96.94,90.17,93.84,93.13,66267957
2019-02-01,88.47,90.27,85.8,89.25,89.2,107061681
2019-02-04,86.8,90.89,85.7,87.64,86.91,88849448
2019-02-05,86.51,91.49,87.42,88.07,87.29,107103276
2019-02-06,84.37,86.54,84.22,84.61,84.25,50173030
2019-02-07,85.33,86.3,82.68,85.81,85.69,65809257
2019-02-08,82.52,85.35,82.54,84.09,83.65,58805640
2019-02-11,82.82,85.97,83.02,83.31,83.31,78857661
2019-02-12,80.89,82.84,79.64,81.64,81.38,110953343
2019-02-13,85.42,87.32,86.43,87.02,86.21,112395861
2019-02-14,86.12,89.0,84.04,87.06,87.05,58998987
2019-02-15,83.07,86.77,83.71,83.93,83.43,78568491
2019-02-18,84.99,89.18,85.57,86.43,85.81,81227669
2019-02-19,82.73,83.4,82.63,82.82,82.45,116116517
2019-02-20,83.26,85.76,82.43,83.51,82.93,55659471
2019-02-21,77.35,78.56,75.89,77.87,77.16,72396446
2019-02-22,73.52,74.97,74.14,74.32,73.58,73182066
2019-02-25,74.03,77.53,72.74,74.91,74.5,56674242
2019-02-26,76.38,77.69,74.87,76.92,76.79,117542486
2019-02-27,76.76,78.28,76.53,77.46,77.13,54376361
2019-02-28,75.77,77.22,76.5,77.22,77.22,93756026
2019-03-01,75.74,79.15,76.27,76.49,75.94,108796753
2019-03-04,72.32,74.9,70.29,72.6,72.08,84237209
2019-03-05,70.08,72.63,70.28,70.85,70.25,90881081
2019-03-06,68.46,71.87,69.05,69.78,69.2,68754833
2019-03-07,72.12,72.87,69.72,72.43,71.91,55582274
2019-03-08,72.2,74.72,71.57,73.37,73.22,109098361
2019-03-11,67.9,69.89,66.94,68.92,68.86,94827606
2019-03-12,68.6,70.03,67.83,69.77,69.75,47553666
2019-03-13,67.98,70.24,68.85,68.9,68.37,119604790
2019-03-14,67.0,69.81,66.37,67.33,67.25,89415512
2019-03-15,68.18,68.95,68.06,68.84,68.38,87103289
2019-03-18,70.26,72.23,71.33,71.4,70.77,80196331
2019-03-19,73.61,74.4,71.95,73.79,73.69,70023219
2019-03-20,71.53,72.38,71.13,71.7,71.44,45474534
2019-03-21,70.82,73.58,69.39,71.0,70.41,57458301
2019-03-22,70.8,73.24,71.51,71.89,71.48,99773767
2019-03-25,73.6,75.81,71.98,74.42,73.89,72783624
2019-03-26,73.22,75.47,73.09,73.24,73.05,36018797
2019-03-27,72.51,73.29,70.56,72.84,72.44,30740829
2019-03-28,68.73,71.46,68.2,70.09,70.08,75011666
2019-03-29,65.97,68.39,66.57,67.23,66.59,89889460
2019-04-01,68.47,70.86,67.53,69.21,68.76,24040015
2019-04-02,72.43,75.46,71.42,72.56,72.18,91979671
2019-04-03,71.78,74.68,70.84,72.45,72.09,107963491
2019-04-04,74.32,76.26,74.3,75.07,74.56,94065902
2019-04-05,74.73,78.61,73.74,76.09,75.88,109642237
2019-04-08,73.94,74.96,71.65,74.45,74.36,116270916
2019-04-09,75.2,75.56,73.36,75.47,75.42,113740429
2019-04-10,78.62,80.26,77.94,79.61,79.45,27356148
2019-04-11,79.23,80.67,76.94,79.59,79.47,36304297
2019-04-12,83.96,85.74,81.85,84.02,83.64,39578545
2019-04-15,75.18,78.28,74.57,76.4,76.27,34370051
2019-04-16,77.93,81.55,75.71,78.68,78.13,34885447
2019-04-17,77.87,80.61,77.68,79.0,78.52,79012055
2019-04-18,77.93,79.82,77.89,78.25,77.72,95686346
2019-04-19,77.92,78.74,75.91,78.58,78.16,118089488
2019-04-22,72.66,73.29,72.01,73.19,72.67,81028692
2019-04-23,72.41,74.3,71.73,72.7,72.67,36414776
2019-04-24,72.79,74.97,71.97,73.68,73.17,77059545
2019-04-25,77.44,80.17,76.64,77.57,76.87,58988394
2019-04-26,75.53,76.73,74.44,76.24,75.88,51671087
2019-04-29,72.91,74.23,72.69,74.16,73.46,119811243
2019-04-30,72.49,74.24,70.03,72.93,72.28,73367513
2019-05-01,75.03,76.06,74.41,75.34,74.75,40660640
2019-05-02,75.24,76.43,75.25,76.28,75.87,32825630
2019-05-03,74.73,77.11,72.06,74.94,74.52,79437423
2019-05-06,76.22,76.7,74.43,76.36,76.21,73563013
2019-05-07,75.59,78.57,76.64,76.7,76.5,26766699
2019-05-08,79.35,80.27,77.54,79.38,78.92,38502049
2019-05-09,76.18,78.05,75.97,77.51,76.99,112862059
2019-05-10,75.47,77.85,76.41,76.69,76.17,95302285
2019-05-13,74.48,78.15,74.86,75.72,75.55,97410986
2019-05-14,71.77,73.05,70.72,71.92,71.24,112937331
2019-05-15,72.23,74.91,72.14,72.73,72.01,57318472
2019-05-16,72.22,73.84,73.07,73.47,73.32,109996873
2019-05-17,72.74,75.83,71.96,73.56,73.18,93662719
2019-05-20,72.47,73.72,71.5,73.03,72.4,73992528
2019-05-21,68.21,71.36,67.77,69.48,68.95,62150667
2019-05-22,68.37,70.08,68.44,68.53,68.48,109668735
2019-05-23,67.51,70.3,66.96,67.78,67.68,40423493
2019-05-24,65.29,66.96,63.52,65.94,65.75,38369426
2019-05-27,65.59,65.8,65.27,65.63,65.29,22918634
2019-05-28,65.85,66.68,65.25,66.63,66.31,93671208
2019-05-29,71.07,73.44,68.44,71.09,71.07,27401628
2019-05-30,71.12,73.1,70.31,71.6,71.58,107770565
2019-05-31,71.78,74.55,70.62,72.31,71.74,29818968
2019-06-03,71.0,72.88,71.85,72.2,72.06,20829119
2019-06-04,67.26,68.35,65.27,67.42,66.88,52658904
2019-06-05,66.66,67.51,66.96,67.43,66.9,97395343
2019-06-06,66.51,70.24,66.44,67.64,67.42,82905267
2019-06-07,72.09,75.5,70.76,73.54,73.1,64433999
2019-06-10,72.47,75.84,73.03,73.11,73.06,88163717
2019-06-11,73.26,74.75,72.52,73.96,73.29,25042596
2019-06-12,73.52,75.75,71.84,73.94,73.58,93533652
2019-06-13,70.83,72.92,69.48,70.99,70.93,90495107
2019-06-14,72.54,74.84,73.48,73.9,73.83,78456545
2019-06-17,75.51,78.5,73.81,75.92,75.28,62229925
2019-06-18,76.83,81.06,75.58,78.1,77.61,56999515
2019-06-19,75.48,78.37,73.05,75.69,75.4,102553680
2019-06-20,79.19,81.83,77.25,79.48,78.81,68669254
2019-06-21,74.97,76.5,74.99,75.66,75.64,103106517
2019-06-24,76.84,78.16,75.66,77.29,77.22,21535410
2019-06-25,82.16,86.51,80.73,83.3,82.61,20349760
2019-06-26,79.64,80.52,77.81,80.49,79.78,51390940
2019-06-27,78.7,81.24,76.87,78.98,78.26,27490526
2019-06-28,78.47,81.57,79.14,79.33,79.26,114014237
2019-07-01,77.01,79.95,75.96,78.01,77.38,79956920
2019-07-02,73.11,76.79,73.82,73.86,73.43,49579729
2019-07-03,73.86,75.03,72.58,74.11,73.7,98327906
2019-07-04,70.48,72.4,69.08,71.43,71.14,20296177
2019-07-05,71.48,72.91,72.36,72.68,72.01,76406173
2019-07-08,70.01,71.67,68.9,70.42,69.88,73738081
2019-07-09,74.05,75.09,73.45,74.31,74.26,82321193
2019-07-10,71.04,73.33,72.29,72.34,72.27,54733850
2019-07-11,70.51,73.99,68.88,71.6,71.44,20994199
2019-07-12,72.45,76.47,71.05,73.71,72.99,75838946
2019-07-15,69.69,71.13,69.82,70.61,70.13,38696614
2019-07-16,70.46,72.3,69.19,71.24,70.97,93825351
2019-07-17,74.2,77.34,72.14,74.57,74.03,84113169
2019-07-18,69.96,70.62,67.74,70.45,70.39,69303116
2019-07-19,70.44,71.24,68.2,70.98,70.72,81965356
2019-07-22,70.76,72.16,71.04,71.69,71.02,48588402
2019-07-23,73.5,75.49,71.18,73.73,73.66,37962838
2019-07-24,69.86,71.03,69.11,70.61,70.58,57747339
2019-07-25,67.39,70.03,66.36,67.42,66.8,93738928
2019-07-26,68.22,69.95,67.15,68.72,68.4,54099933
2019-07-29,68.29,70.89,66.8,69.5,69.02,117771611
2019-07-30,69.73,70.87,69.57,70.18,69.75,82606357
2019-07-31,70.14,72.44,68.29,71.1,70.52,49108395
2019-08-01,69.04,71.32,68.82,69.48,69.19,86975323
2019-08-02,68.81,72.22,69.81,70.11,70.08,109085119
2019-08-05,69.73,73.04,69.29,70.9,70.55,63955276
2019-08-06,69.0,70.8,67.91,69.2,68.57,25567768
2019-08-07,72.65,76.46,72.25,73.79,73.51,26964587
2019-08-08,74.84,77.53,73.25,75.08,74.58,100513261
2019-08-09,70.99,74.21,71.71,72.03,71.93,72677766
2019-08-12,73.23,73.92,73.45,73.76,73.34,91748460
2019-08-13,70.87,71.33,69.42,71.31,70.73,23465495
2019-08-14,72.64,73.97,72.22,73.35,72.76,113352978
2019-08-15,75.34,78.43,76.18,76.4,76.22,103108210
2019-08-16,73.11,75.5,74.17,74.28,73.73,49677320
2019-08-19,75.37,78.1,75.35,76.86,76.68,28744047
2019-08-20,76.96,80.81,76.34,78.05,77.43,91315194
2019-08-21,79.81,83.25,78.05,80.37,79.82,85117859
2019-08-22,85.67,88.9,85.64,85.78,85.32,80401319
2019-08-23,84.91,86.2,82.21,85.13,85.08,73312506
2019-08-26,82.58,85.26,81.58,82.97,82.91,82806935
2019-08-27,80.13,81.34,78.16,80.47,79.83,103046078
2019-08-28,77.74,78.86,76.0,78.26,77.76,119829060
2019-08-29,76.96,78.7,76.26,78.12,77.46,39331509
2019-08-30,78.98,80.21,79.13,79.13,78.74,46790262
2019-09-02,79.45,81.36,76.96,79.98,79.55,109476652
2019-09-03,81.65,85.11,80.98,82.37,82.29,30897788
2019-09-04,81.02,82.89,79.46,82.49,82.43,50641113
2019-09-05,85.81,89.32,83.84,86.77,86.24,74188045
2019-09-06,85.13,87.89,84.13,86.06,85.62,92940262
2019-09-09,94.08,95.43,92.49,94.34,94.24,105893788
2019-09-10,95.63,98.4,93.64,96.5,96.31,113577715
2019-09-11,92.54,94.82,91.14,93.7,92.77,50187141
